Model,Folds,Grid_search,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Time,Pipeline_file
Logistic Regression,5,True,0.6116530826015734,0.1002420487289834,0.4441343712637728,0.0778030131604218,0.5143800117522512,0.0869587952169614,0.6402420574886535,0.0330122401137328,4.692321300506592,saved_pipelines\Logistic_Regression_pipeline_1763218678.pkl
Random Forest,5,True,0.7611640843538628,0.0601796628216777,0.5631056708048785,0.0640211558937066,0.6465746112493262,0.0603378500150524,0.7352496217851741,0.0302571860816944,9.079949378967283,saved_pipelines\Random_Forest_pipeline_1763218687.pkl
Gradient Boosting,5,True,0.6904856488179147,0.099362488803805,0.3712378917624545,0.0891075419040377,0.4811785795920048,0.0967949043390371,0.6590015128593041,0.0338366803242221,5.862885475158691,saved_pipelines\Gradient_Boosting_pipeline_1763218693.pkl
XGBoost,5,True,0.6850315644046965,0.0995017610689067,0.3685139076741236,0.0889316421934735,0.4776231683462049,0.0971874325312905,0.6565809379727685,0.0343788747150154,1.9782955646514893,saved_pipelines\XGBoost_pipeline_1763218695.pkl
CatBoost,5,True,0.6686519364844818,0.1020480801408271,0.3966947515818163,0.0876218671281566,0.4971135674615106,0.0959600179336061,0.6574886535552193,0.0339177522725356,8.03475284576416,saved_pipelines\CatBoost_pipeline_1763218703.pkl
Logistic Regression,5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.5576399394856278,0.0803304072958781,33.2589328289032,saved_pipelines\Logistic_Regression_pipeline_1763219107.pkl
Logistic Regression,5,True,0.6685332376250706,0.0986530218118153,0.3700835544012205,0.0895704936699075,0.4748643791984867,0.0964948964765128,0.6511346444780635,0.0353970283766068,11.514424324035645,saved_pipelines\Logistic_Regression_pipeline_1763219209.pkl
Random Forest,5,True,0.9891779605899208,0.0065621418305144,0.9756166484127304,0.0117493398923611,0.9823412315029928,0.0090822464594941,0.9857791225416036,0.0060211040066966,102.62349152565002,saved_pipelines\Random_Forest_pipeline_1763219311.pkl
Gradient Boosting,5,True,0.6887727990213671,0.1107478092033269,0.3539850884660686,0.0853440390183733,0.4661911350715583,0.0968718280324383,0.6538577912254161,0.0345833151279384,130.90770959854126,saved_pipelines\Gradient_Boosting_pipeline_1763219442.pkl
XGBoost,5,True,0.6920842706613378,0.1026209515559305,0.3706680911926539,0.0882417047229859,0.4811257086466417,0.0966738791526204,0.6590015128593041,0.036139292492384,94.22232294082642,saved_pipelines\XGBoost_pipeline_1763219536.pkl
Logistic Regression,5,True,0.6116530826015734,0.1002420487289834,0.4441343712637728,0.0778030131604218,0.5143800117522512,0.0869587952169614,0.6402420574886535,0.0330122401137328,5.196116209030151,saved_pipelines\Logistic_Regression_pipeline_1763220607.pkl
Random Forest,5,True,0.7611640843538628,0.0601796628216777,0.5631056708048785,0.0640211558937066,0.6465746112493262,0.0603378500150524,0.7352496217851741,0.0302571860816944,9.66855764389038,saved_pipelines\Random_Forest_pipeline_1763220617.pkl
Gradient Boosting,5,True,0.690917589480498,0.0994552511080454,0.3699969502530565,0.0883146457921763,0.480235622772671,0.09613436838024,0.6586989409984871,0.0338366803242221,6.379128694534302,saved_pipelines\Gradient_Boosting_pipeline_1763220623.pkl
XGBoost,5,True,0.6850315644046965,0.0995017610689067,0.3685139076741236,0.0889316421934735,0.4776231683462049,0.0971874325312905,0.6565809379727685,0.0343788747150154,1.9521408081054688,saved_pipelines\XGBoost_pipeline_1763220625.pkl
CatBoost,5,True,0.6686519364844818,0.1020480801408271,0.3966947515818163,0.0876218671281566,0.4971135674615106,0.0959600179336061,0.6574886535552193,0.0339177522725356,8.239721059799194,saved_pipelines\CatBoost_pipeline_1763220634.pkl
Logistic Regression,5,True,0.5961279153286597,0.0637824804499181,0.5345638778985453,0.2307507653269836,0.5455809759217753,0.1508870325713032,0.6544629349470499,0.0320583418120318,4.691581964492798,saved_pipelines\Logistic_Regression_pipeline_1763222813.pkl
Random Forest,5,True,0.7885018331598809,0.0238266567964428,0.6674826911339624,0.2624408840396219,0.6942338208867092,0.1715411560515527,0.7906202723146747,0.0455830307661518,4.598110914230347,saved_pipelines\Random_Forest_pipeline_1763222817.pkl
